"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat May 30 20:54:31 UTC 2026","Sat May 30 20:54:31 UTC 2026","76","","OwnerApiTest — REST API владельцев","","org.petclinic.tests.OwnerApiTest","getAllOwners_returns200AndNonNullList","getAllOwners_returns200AndNonNullList()","GET /owners → 200, ответ является непустым массивом"
"failed","Sat May 30 20:54:37 UTC 2026","Sat May 30 20:54:37 UTC 2026","48","","PetApiTest — REST API питомцев","","org.petclinic.tests.PetApiTest","createPet_nonExistentOwner_returns404","createPet_nonExistentOwner_returns404()","POST /owners/{id}/pets для несуществующего владельца → 404"
"failed","Sat May 30 20:54:37 UTC 2026","Sat May 30 20:54:37 UTC 2026","38","","PetApiTest — REST API питомцев","","org.petclinic.tests.PetApiTest","createPet_validData_returns201","createPet_validData_returns201()","POST /owners/{id}/pets → 201 с данными питомца (name, type, birthDate)"
"failed","Sat May 30 20:54:31 UTC 2026","Sat May 30 20:54:32 UTC 2026","74","","OwnerApiTest — REST API владельцев","","org.petclinic.tests.OwnerApiTest","getOwner_existingId_returns200WithData","getOwner_existingId_returns200WithData()","GET /owners/{id} для существующего владельца → 200 с корректными данными"
"failed","Sat May 30 20:54:31 UTC 2026","Sat May 30 20:54:31 UTC 2026","108","","OwnerApiTest — REST API владельцев","","org.petclinic.tests.OwnerApiTest","updateOwner_dataActuallyChanged","updateOwner_dataActuallyChanged()","После PUT данные владельца действительно изменились в БД"
"failed","Sat May 30 20:54:37 UTC 2026","Sat May 30 20:54:37 UTC 2026","49","","PetApiTest — REST API питомцев","","org.petclinic.tests.PetApiTest","getPet_existingPet_returns200WithFields","getPet_existingPet_returns200WithFields()","GET /owners/*/pets/{id} → 200 с полями id, name, birthDate, type"
"failed","Sat May 30 20:54:24 UTC 2026","Sat May 30 20:54:26 UTC 2026","1328","","VetApiTest — REST API ветеринаров","","org.petclinic.tests.VetApiTest","getVets_eachVetHasRequiredFields","getVets_eachVetHasRequiredFields()","Каждый ветеринар содержит поля: firstName, lastName, specialties, nrOfSpecialties"
"failed","Sat May 30 20:54:37 UTC 2026","Sat May 30 20:54:37 UTC 2026","31","","PetApiTest — REST API питомцев","","org.petclinic.tests.PetApiTest","updatePet_existingPet_returns204","updatePet_existingPet_returns204()","PUT /owners/*/pets/{id} → 204 No Content"
"failed","Sat May 30 20:54:42 UTC 2026","Sat May 30 20:54:43 UTC 2026","31","","FullScenarioTest — жизненный цикл","","org.petclinic.tests.FullScenarioTest","fullOwnerPetLifecycle","fullOwnerPetLifecycle()","Шаг 1: Создать владельца
Шаг 2: Проверить что владелец создан (GET by ID)
Шаг 3: Добавить питомца владельцу
Шаг 4: Получить владельца и убедиться, что питомец присутствует
Шаг 5: Обновить данные владельца (PUT)
Шаг 6: Проверить что данные обновились
Шаг 7: Запросить несуществующего владельца → 404
"
"failed","Sat May 30 20:54:26 UTC 2026","Sat May 30 20:54:26 UTC 2026","136","","VetApiTest — REST API ветеринаров","","org.petclinic.tests.VetApiTest","getVets_listIsNotEmpty","getVets_listIsNotEmpty()","Список ветеринаров не пуст — данные загружены из data.sql"
"failed","Sat May 30 20:54:32 UTC 2026","Sat May 30 20:54:32 UTC 2026","66","","OwnerApiTest — REST API владельцев","","org.petclinic.tests.OwnerApiTest","createOwner_invalidTelephone_returns400","createOwner_invalidTelephone_returns400()","POST с телефоном, содержащим буквы (@Digits), должен вернуть 400"
"failed","Sat May 30 20:54:37 UTC 2026","Sat May 30 20:54:37 UTC 2026","54","","PetApiTest — REST API питомцев","","org.petclinic.tests.PetApiTest","getPetTypes_returns200WithNonEmptyList","getPetTypes_returns200WithNonEmptyList()","GET /petTypes → 200, список не пустой, у каждого типа есть id и name"
"failed","Sat May 30 20:54:32 UTC 2026","Sat May 30 20:54:32 UTC 2026","64","","OwnerApiTest — REST API владельцев","","org.petclinic.tests.OwnerApiTest","updateOwner_existingId_returns204","updateOwner_existingId_returns204()","PUT /owners/{id} для существующего владельца → 204 No Content"
"failed","Sat May 30 20:54:32 UTC 2026","Sat May 30 20:54:32 UTC 2026","162","","OwnerApiTest — REST API владельцев","","org.petclinic.tests.OwnerApiTest","updateOwner_nonExistentId_returns404","updateOwner_nonExistentId_returns404()","PUT /owners/{id} для несуществующего ID → 404"
"failed","Sat May 30 20:54:32 UTC 2026","Sat May 30 20:54:32 UTC 2026","89","","OwnerApiTest — REST API владельцев","","org.petclinic.tests.OwnerApiTest","createOwner_validData_returns201AndAllFields","createOwner_validData_returns201AndAllFields()","POST /owners с валидными данными должен вернуть 201 и все поля ответа"
"failed","Sat May 30 20:54:32 UTC 2026","Sat May 30 20:54:32 UTC 2026","91","","OwnerApiTest — REST API владельцев","","org.petclinic.tests.OwnerApiTest","getOwner_nonExistentId_returns404","getOwner_nonExistentId_returns404()","GET /owners/{id} для несуществующего ID → 404"
"failed","Sat May 30 20:54:32 UTC 2026","Sat May 30 20:54:32 UTC 2026","51","","OwnerApiTest — REST API владельцев","","org.petclinic.tests.OwnerApiTest","createOwner_blankFirstName_returns400","createOwner_blankFirstName_returns400()","POST с пустым firstName должен вернуть 400"
"failed","Sat May 30 20:54:26 UTC 2026","Sat May 30 20:54:26 UTC 2026","69","","VetApiTest — REST API ветеринаров","","org.petclinic.tests.VetApiTest","getVets_returns200AndJsonArray","getVets_returns200AndJsonArray()","GET /vets → 200, ответ является массивом JSON"
